CORREO,CONTRASENA,NOMBRES,APELLIDOS,ACTIVO,ROLID
martin.gomez@gmail.com,Ab@1zY#7,Martín,Gómez,1,2
laura.fernandez@outlook.com,Xx!2Qq$9,Laura,Fernández,0,1
carlos.morales@yahoo.com,Rr#3Kk!5,Carlos,Morales,1,1
sofia.lopez@hotmail.com,Jj%6Yy@4,Sofía,López,1,2
daniel.torres@gmail.com,Tt$8Ww#1,Daniel,Torres,0,2
andrea.diaz@outlook.com,Aa^9Zz@2,Andrea,Díaz,1,1
lucas.ruiz@gmail.com,Mm!3Xx$7,Lucas,Ruiz,1,1
camila.ortega@yahoo.com,Ee@4Rr!6,Camila,Ortega,0,2
alejandro.navarro@hotmail.com,Nn#2Cc%9,Alejandro,Navarro,1,2
valentina.vargas@outlook.com,Hh$1Gg^8,Valentina,Vargas,0,1
manuel.perez@gmail.com,Qq@7Tt!3,Manuel,Pérez,1,1
diana.gutierrez@yahoo.com,Uu%5Ii@4,Diana,Gutiérrez,0,2
sebastian.ramos@hotmail.com,Ll@6Dd$2,Sebastián,Ramos,1,2
mariana.flores@outlook.com,Yy!8Kk#1,Mariana,Flores,0,1
diego.mendoza@gmail.com,Pp^2Zz$6,Diego,Mendoza,1,1
paula.castro@yahoo.com,Ss@3Mm!9,Paula,Castro,1,2
jose.romero@hotmail.com,Bb#4Ll@8,José,Romero,0,1
carolina.martinez@outlook.com,Vv!9Jj$3,Carolina,Martínez,1,2
matias.garcia@gmail.com,Cc^1Tt@7,Matías,García,1,2
natalia.sanchez@yahoo.com,Zz@6Nn#5,Natalia,Sánchez,0,1
pablo.iglesias@outlook.com,Dd%3Xx!2,Pablo,Iglesias,1,1
isabel.leon@gmail.com,Ff#8Hh@9,Isabel,León,0,2
francisco.silva@yahoo.com,Gg@2Qq$4,Francisco,Silva,1,1
elena.cabrera@hotmail.com,Ww!4Ee^6,Elena,Cabrera,1,2
ricardo.delgado@outlook.com,Tt^5Bb@3,Ricardo,Delgado,0,2
maria.reyes@gmail.com,Jj#9Kk!1,María,Reyes,1,1
fernando.vazquez@yahoo.com,Yy@7Nn%2,Fernando,Vázquez,0,2
alejandra.rivera@hotmail.com,Hh$8Zz^5,Alejandra,Rivera,1,1
gabriel.rojas@outlook.com,Mm!1Aa#6,Gabriel,Rojas,0,2
lorena.arias@gmail.com,Qq^6Tt$9,Lorena,Arias,1,1
andres.campos@yahoo.com,Xx@2Rr!4,Andrés,Campos,1,2
veronica.molina@hotmail.com,Ee#3Ww@8,Verónica,Molina,0,2
hugo.salazar@outlook.com,Nn%7Cc$1,Hugo,Salazar,1,1
ines.hernandez@gmail.com,Aa!5Zz^2,Inés,Hernández,1,2
oscar.nieto@yahoo.com,Dd@6Mm#3,Óscar,Nieto,0,1
patricia.luna@hotmail.com,Ss$4Kk@9,Patricia,Luna,1,2
julian.villalobos@outlook.com,Ll#1Tt%5,Julián,Villalobos,0,1
antonella.paredes@gmail.com,Pp^8Xx@7,Antonella,Paredes,1,2
nestor.martin@yahoo.com,Ff@9Ee!2,Néstor,Martín,0,2
luisa.aguilar@hotmail.com,Rr!2Qq#6,Luisa,Aguilar,1,1
marco.rivero@outlook.com,Yy$3Nn^4,Marco,Rivero,1,2
